id_auteur,id_objet,note,commentaire
1,2,8,"Super événement !"
2,5,9,"Une expérience incroyable."
5,7,7,"L'organisation aurait pu être meilleure."
6,10,6,"Les artistes étaient décevants."
18,12,9,"Ambiance festive et conviviale."
19,2,8,"Un événement à ne pas manquer."
1,5,7,"Un bon moment, mais le lieu était trop petit."
2,7,7,"Les prix étaient un peu trop élevés."
5,10,6,"Je m'attendais à mieux."
5,8,7,"Organisation bien gérée."
6,8,6,"Les horaires n'étaient pas respectés."
18,6,9,"Un événement inoubliable."
19,1,8,"Lieu parfait pour cette soirée."
